L1Loss,RMSE
33.096756390162874,43.009350640433176
32.16616630554199,42.723584583827424
39.76129068647112,50.978912353515625
27.992013931274414,35.42790290287563
30.549498558044434,41.12879971095494
29.980931418282644,39.30055359431675
29.04676001412528,33.900065422058105
14.972172941480364,19.793434415544784
12.501328604561943,16.059330327170237
11.177652835845947,14.852087020874023
10.99190194266183,14.384689262935094
11.759839534759521,14.662813935961042
10.252217973981585,13.370847838265556
22.36621652330671,25.566689491271973
10.995026384081159,13.929689816066197
11.550268581935338,14.670512131282262
11.060630934579033,13.951265607561384
9.751210348946708,13.077545302254814
12.088865620749337,15.190562520708356
12.722403935023717,15.512396608080183
12.470012528555733,15.701154913221087
9.125895295824323,12.029800551278251
8.844709396362305,11.909463678087507
12.158073629651751,15.07665729522705
10.90114232472011,13.757007462637764
8.92125299998692,11.467504978179932
10.736907277788434,13.528048719678607
8.616546324321202,11.307602405548096
12.696638243538994,15.490651607513428
8.366318328039986,11.086415563310895
11.719408988952637,14.35897718157087
8.450428179332189,11.034525871276855
10.1129150390625,12.697018282754081
10.80433007649013,13.25883436203003
8.469008888517108,11.264283793313163
8.41039228439331,11.025966576167516
8.448501178196498,10.971799305507115
8.497669969286237,10.952646868569511
9.127551351274763,11.584215709141322
9.37615374156407,11.638382298605782
8.263070038386754,10.750000204358782
9.425450665610176,12.116653374263219
8.660931178501674,11.247875349862236
10.966631071908134,13.63784681047712
12.667112146105085,15.165981769561768
9.632965360369,11.987224987574987
10.548170566558838,12.975763389042445
9.746064458574567,12.097883428846087
11.58208772114345,14.080061095101494
8.300352948052543,10.75931807926723
8.764211109706334,11.532082625797816
8.67461827823094,11.089417457580566
8.727939673832484,11.325716836111885
9.420228106634957,12.233401707240514
8.515752826418195,11.180530207497734
62.03443799700056,69.7186633518764
38.43598256792341,45.086508069719585
36.09101595197405,43.61788122994559
34.070319584437776,45.430102484566824
34.58824416569301,43.77875927516392
34.19548211778913,44.336508887154714
34.614526339939665,43.348374775477815
34.984943526131765,43.74737821306501
34.25969546181815,44.01022148132324
34.709219796316965,43.688836506434846
34.83303696768625,43.386122294834685
34.024613107953755,43.763249261038645
34.23486518859863,43.66380364554269
38.76466505868094,45.45057596479143
88.97716849190849,97.72062955583844
35.384695053100586,43.40087045942034
33.946016039167134,44.31445040021624
33.67656135559082,45.51993152073452
34.19473852430071,46.22276306152344
34.32037789481027,47.43914903913225
34.736477034432546,43.66213253566197
34.14025034223284,44.330308641706196
34.413032804216655,44.444701058524
33.84656402042934,44.26015853881836
34.34910978589739,43.99355506896973
34.25103650774275,43.74814033508301
34.411769321986604,44.17215483529227
35.75046348571777,43.554356711251394
35.00353567940848,43.475981848580496
34.30168206351144,43.983541761125835
34.62903676714216,43.865562438964844
34.101460456848145,45.04346874782017
34.62878404344831,43.97425760541643
34.619957651410786,43.16918509347098
34.992103167942595,43.31596973964146
33.44661590031215,45.10963903154646
33.855624607631135,45.09706551688058
35.06562219347273,43.47049304417202
34.66596698760986,43.78355952671596
34.94056415557861,43.63787487574986
35.00324957711356,43.39888872419085
34.3866331917899,44.66591671534947
33.880214146205354,44.103004455566406
34.70604705810547,43.41495486668178
34.50444289616176,44.70083045959473
