L1Loss,RMSE
43.733242579868865,57.4516716003418
31.381420952933176,38.234763281685964
26.780891009739467,34.202900886535645
22.008874348231725,28.910144669669016
26.013750076293945,29.818559374128068
16.754129886627197,20.749739238194056
18.64897850581578,21.729693821498326
17.45939459119524,21.2006744657244
11.912919180733818,14.769787243434362
11.97938687460763,15.054227965218681
10.13860627583095,12.892372608184814
10.04527405330113,13.159245150429863
10.116256441388812,12.617348534720284
8.808165073394775,11.504866395677839
9.184644835335869,11.978829996926445
9.363858495439802,12.080112048557826
9.144659723554339,11.548173223223005
8.21059799194336,10.54909610748291
12.317799840654645,14.97774076461792
9.803971426827568,12.729797295161656
8.582168851579938,11.104813507625035
12.755162852151054,15.24659994670323
9.468864440917969,11.871386732373919
8.710165977478027,11.1773362159729
9.631787845066615,12.185798508780342
8.343169927597046,10.800058569226946
8.17001233782087,10.596905367715019
7.8520121574401855,10.265555586133685
8.947056804384504,11.27111223765782
8.003120115825109,10.341486045292445
9.13655870301383,11.935785225459508
9.491299833570208,12.040960788726807
8.9154794216156,11.530797822134835
7.8685206685747415,10.376096384865898
8.535780838557653,11.08138132095337
8.978504214968,12.030011926378522
8.226554938725062,10.571566036769322
9.589616843632289,12.209147453308105
8.170966114316668,10.574967179979597
10.157092094421387,13.033214160374232
9.594785826546806,12.038562365940638
7.9686916555677145,10.295886448451451
8.003509419304985,10.405280794416155
9.903071880340576,12.749908787863594
7.902437652860369,10.347023282732282
8.505156312670026,11.143429006849017
9.108998673302787,11.693814890725273
7.865916456495013,10.263854435511998
8.77355568749564,11.338783400399345
9.13993729863848,11.618355614798409
10.286666188921247,13.278590679168701
8.675039223262242,11.510490758078438
7.850015231541225,10.43832268033709
8.127265555518013,10.672278336116246
8.914546387536186,11.710074765341622
8.514774015971593,11.045983586992536
8.239258084978376,10.835214001791817
8.422289984566826,11.075626986367363
9.162536144256592,11.8513103893825
9.735584122794014,12.596747194017683
8.519891602652413,11.526482377733503
7.824374777930124,10.28603036063058
8.539903129850115,11.28343847819737
9.018198932920184,12.424550328935895
8.061282464436122,10.715561355863299
8.105454683303833,10.691070420401436
8.263610703604561,10.843796934400286
8.08664802142552,10.78315189906529
9.392415182931083,12.049426623753138
9.883853776114327,12.315661907196045
8.156618390764509,10.656981808798653
8.62355933870588,11.44970110484532
8.404462133135114,11.070748192923409
9.166874272482735,12.01691940852574
8.531075613839286,11.011924539293561
10.246161188398089,12.756609916687012
7.983360971723284,10.339178494044713
8.064322369439262,10.445119721548897
8.272729396820068,10.845142568860735
11.809336049216133,14.254353046417236
8.659624814987183,11.118120125361852
8.33378723689488,10.92716462271554
8.131792204720634,10.885232176099505
7.9225795950208395,10.342204775129046
7.993496724537441,10.48612185886928
8.095080477850777,10.652837753295898
9.950383935655866,12.91410071509225
7.85553629057748,10.31073774610247
12.111362729753766,14.844030720846993
8.341811656951904,11.15730653490339
8.207000153405327,10.930141925811768
7.9251549243927,10.519843782697405
8.37614985874721,10.924794742039271
8.168533086776733,10.948205402919225
8.986517701830183,11.622092383248466
7.881846359797886,10.457931518554688
8.061643362045288,10.592441763196673
8.3678491796766,10.620576517922538
7.949672869273594,10.461112226758685
8.753735337938581,11.450458254132952
